time	V(vout)
0.000000000000000e+000	9.838554e-006
6.080000000000000e-004	9.838561e-006
6.080023252502104e-004	1.000986e-005
6.080069757506310e-004	1.071877e-005
6.080100046227283e-004	1.171662e-005
6.080138643256952e-004	1.407327e-005
6.080181332392517e-004	1.831082e-005
6.080232857648001e-004	2.631417e-005
6.080305508379490e-004	4.272643e-005
6.080375884214569e-004	6.423120e-005
6.080441257041432e-004	8.970567e-005
6.080515569860605e-004	1.244645e-004
6.080594812483295e-004	1.671470e-004
6.080697804858156e-004	2.287274e-004
6.080822400187060e-004	3.073750e-004
6.080995217456964e-004	4.143833e-004
6.081209745835720e-004	5.316439e-004
6.081442223033567e-004	6.278331e-004
6.081729124576483e-004	6.991423e-004
6.082081944575833e-004	7.343186e-004
6.082482202293440e-004	7.360156e-004
6.082869511828296e-004	7.242402e-004
6.083803583567500e-004	7.089982e-004
6.084472640957900e-004	7.087965e-004
6.085277551807599e-004	7.099442e-004
6.086378511805089e-004	7.107932e-004
6.087771160405841e-004	7.120056e-004
6.088292729545930e-004	7.127436e-004
6.090000000000001e-004	7.162408e-004
6.090259944944241e-004	6.913811e-004
6.090487738122554e-004	6.144393e-004
6.090634198252176e-004	5.377826e-004
6.090796063842499e-004	4.399625e-004
6.090969799534224e-004	3.314076e-004
6.091132631221539e-004	2.346878e-004
6.091227471649962e-004	1.842579e-004
6.091324317212437e-004	1.400102e-004
6.091443444397676e-004	9.447597e-005
6.091558222281680e-004	5.976557e-005
6.091687662239385e-004	3.093823e-005
6.091968796608734e-004	-9.643443e-007
6.092187171349538e-004	-2.698167e-008
6.092405546090342e-004	2.024604e-006
6.092623920831145e-004	5.190413e-006
6.092842295571950e-004	9.470445e-006
6.093060670312753e-004	1.486470e-005
6.093279045053557e-004	2.137318e-005
6.093497419794360e-004	2.899588e-005
6.096451235242471e-004	4.846537e-005
6.099405050690580e-004	7.529762e-005
6.102358866138690e-004	1.094926e-004
6.105312681586799e-004	1.510504e-004
6.108266497034910e-004	1.999709e-004
6.111220312483019e-004	2.562541e-004
6.114174127931129e-004	3.199001e-004
6.129829943145315e-004	7.818009e-004
6.159100223139411e-004	2.196318e-003
6.216606095042525e-004	6.774062e-003
6.308528454388296e-004	1.817594e-002
6.429371453706957e-004	3.998462e-002
6.589021580788510e-004	7.905088e-002
6.804440909082125e-004	1.456297e-001
7.079419664460557e-004	2.458989e-001
7.429087168968412e-004	3.859531e-001
7.789035439112006e-004	5.333816e-001
8.182246987555337e-004	6.879100e-001
8.567289484727956e-004	8.258499e-001
8.907710315330967e-004	9.324499e-001
9.272073765237540e-004	1.028782e+000
9.651031674414678e-004	1.109513e+000
1.013931292441468e-003	1.188286e+000
1.062759417441468e-003	1.243573e+000
1.111587542441468e-003	1.278272e+000
1.160415667441468e-003	1.298124e+000
1.188171875000000e-003	1.304346e+000
1.195171875000000e-003	1.304958e+000
1.202829694691424e-003	1.305344e+000
1.218145334074273e-003	1.305747e+000
1.221145334074273e-003	1.305725e+000
1.223410286349377e-003	1.305685e+000
1.225675238624481e-003	1.305631e+000
1.227940190899584e-003	1.305563e+000
1.230205143174688e-003	1.305479e+000
1.232470095449792e-003	1.305382e+000
1.234735047724896e-003	1.305269e+000
1.237000000000000e-003	1.305142e+000
1.237004584216777e-003	1.305142e+000
1.237009168433555e-003	1.305141e+000
1.237013752650332e-003	1.305137e+000
1.237018336867109e-003	1.305131e+000
1.237022921083886e-003	1.305124e+000
1.237027505300664e-003	1.305114e+000
