time	V(vout)
0.000000000000000e+000	9.838554e-006
6.080000000000000e-003	9.838560e-006
6.080006600688255e-003	1.058959e-005
6.080009460510547e-003	1.145183e-005
6.080013299040435e-003	1.362527e-005
6.080017531994969e-003	1.755117e-005
6.080022419185154e-003	2.469205e-005
6.080029374739008e-003	3.957010e-005
6.080036287791485e-003	5.971408e-005
6.080042806890311e-003	8.417927e-005
6.080050354973730e-003	1.184549e-004
6.080057884052617e-003	1.581233e-004
6.080067956197156e-003	2.174753e-004
6.080079736805095e-003	2.914618e-004
6.080096230217592e-003	3.945169e-004
6.080117691789792e-003	5.152760e-004
6.080140171695773e-003	6.136892e-004
6.080168148203307e-003	6.901851e-004
6.080203114890459e-003	7.319109e-004
6.080241625468258e-003	7.374228e-004
6.080282431837543e-003	7.256531e-004
6.080320443509061e-003	7.153051e-004
6.080372051581004e-003	7.093740e-004
6.080438541710949e-003	7.086783e-004
6.080518579366303e-003	7.098386e-004
6.080619749040439e-003	7.106749e-004
6.080757051529333e-003	7.118033e-004
6.080841160393735e-003	7.130691e-004
6.081000000000001e-003	7.162623e-004
6.081008513225675e-003	7.156385e-004
6.081017026451350e-003	7.077458e-004
6.081025539677025e-003	6.925840e-004
6.081034052902700e-003	6.701533e-004
6.081042566128374e-003	6.404535e-004
6.081051079354049e-003	6.034848e-004
6.081059592579724e-003	5.592471e-004
6.081075102881968e-003	4.679473e-004
6.081091716782514e-003	3.643759e-004
6.081112307713349e-003	2.405399e-004
6.081122381109118e-003	1.860931e-004
6.081131763944313e-003	1.427562e-004
6.081143896971641e-003	9.583692e-005
6.081155128259993e-003	6.138903e-005
6.081168286038116e-003	3.159102e-005
6.081196254077472e-003	-8.039477e-007
6.081217866113861e-003	-1.381105e-007
6.081239478150250e-003	1.711845e-006
6.081261090186639e-003	4.745918e-006
6.081282702223028e-003	8.964110e-006
6.081304314259416e-003	1.436642e-005
6.081325926295805e-003	2.095285e-005
6.081347538332194e-003	2.872339e-005
6.081622277907444e-003	4.692670e-005
6.081897017482694e-003	7.122212e-005
6.082171757057944e-003	1.016097e-004
6.082446496633195e-003	1.380893e-004
6.082721236208444e-003	1.806611e-004
6.082995975783695e-003	2.293250e-004
6.083270715358945e-003	2.840810e-004
6.084470544027364e-003	6.009245e-004
6.086870201364202e-003	1.604713e-003
6.091471881666220e-003	4.790748e-003
6.100021328163881e-003	1.419559e-002
6.111224032605232e-003	3.245733e-002
6.125632271940905e-003	6.501028e-002
6.145671236199418e-003	1.232951e-001
6.171120235558301e-003	2.123483e-001
6.204028200640357e-003	3.415445e-001
6.239841278818604e-003	4.883047e-001
6.278340939084205e-003	6.424736e-001
6.317125805860905e-003	7.855802e-001
6.356305407370161e-003	9.128492e-001
6.392314678171009e-003	1.012031e+000
6.429065096838938e-003	1.093303e+000
6.482566431010120e-003	1.178459e+000
6.569115832111508e-003	1.258096e+000
6.689233019611508e-003	1.297398e+000
6.809350207111508e-003	1.289373e+000
6.923312380413910e-003	1.261726e+000
7.043429567913910e-003	1.229260e+000
7.163546755413910e-003	1.199914e+000
7.283663942913910e-003	1.174588e+000
7.403781130413911e-003	1.152428e+000
7.523898317913911e-003	1.132468e+000
7.644015505413911e-003	1.114122e+000
7.764132692913911e-003	1.097147e+000
8.004367067913911e-003	1.067220e+000
8.244601442913909e-003	1.042920e+000
8.484835817913908e-003	1.024466e+000
8.845187380413906e-003	1.007798e+000
9.085421755413905e-003	1.003896e+000
9.325656130413904e-003	1.005554e+000
