time	V(vout)
0.000000000000000e+000	9.838554e-006
6.080000000000000e-002	9.838558e-006
6.080000660068825e-002	1.058959e-005
6.080000946051054e-002	1.145183e-005
6.080001329904043e-002	1.362527e-005
6.080001753199497e-002	1.755117e-005
6.080002241918515e-002	2.469205e-005
6.080002937473900e-002	3.957010e-005
6.080003628779147e-002	5.971407e-005
6.080004280689030e-002	8.417926e-005
6.080005035497372e-002	1.184549e-004
6.080005788405260e-002	1.581233e-004
6.080006795619714e-002	2.174753e-004
6.080007973680506e-002	2.914618e-004
6.080009623021754e-002	3.945169e-004
6.080011769178974e-002	5.152760e-004
6.080014017169572e-002	6.136892e-004
6.080016814820324e-002	6.901851e-004
6.080020311489041e-002	7.319109e-004
6.080024162546819e-002	7.374228e-004
6.080028243183752e-002	7.256531e-004
6.080032044350900e-002	7.153051e-004
6.080037205158093e-002	7.093740e-004
6.080043854171082e-002	7.086783e-004
6.080051857936612e-002	7.098386e-004
6.080061974904020e-002	7.106749e-004
6.080075705152905e-002	7.118033e-004
6.080084116044492e-002	7.130691e-004
6.080100000000000e-002	7.162623e-004
6.080100851322597e-002	7.156385e-004
6.080101702645193e-002	7.077458e-004
6.080102553967789e-002	6.925840e-004
6.080103405290385e-002	6.701533e-004
6.080104256612982e-002	6.404535e-004
6.080105107935578e-002	6.034848e-004
6.080105959258175e-002	5.592471e-004
6.080107510288432e-002	4.679473e-004
6.080109171678524e-002	3.643759e-004
6.080111230771732e-002	2.405399e-004
6.080112238111213e-002	1.860930e-004
6.080113176394701e-002	1.427561e-004
6.080114389697428e-002	9.583691e-005
6.080115512826288e-002	6.138902e-005
6.080116828604118e-002	3.159101e-005
6.080119625408119e-002	-8.039522e-007
6.080121786611880e-002	-1.381128e-007
6.080123947815642e-002	1.711844e-006
6.080126109019403e-002	4.745919e-006
6.080128270223164e-002	8.964111e-006
6.080130431426925e-002	1.436642e-005
6.080132592630687e-002	2.095285e-005
6.080134753834448e-002	2.872339e-005
6.080162227798956e-002	4.692670e-005
6.080189701763464e-002	7.122213e-005
6.080217175727973e-002	1.016097e-004
6.080244649692482e-002	1.380894e-004
6.080272123656990e-002	1.806612e-004
6.080299597621498e-002	2.293251e-004
6.080327071586007e-002	2.840812e-004
6.080447054550706e-002	6.009251e-004
6.080687020480105e-002	1.604715e-003
6.081147188773634e-002	4.790753e-003
6.082002134075071e-002	1.419560e-002
6.083122404787528e-002	3.245737e-002
6.084563229621540e-002	6.501034e-002
6.086567126505790e-002	1.232952e-001
6.089112027555350e-002	2.123485e-001
6.092402824760738e-002	3.415447e-001
6.095984132898257e-002	4.883049e-001
6.099834099113024e-002	6.424739e-001
6.103712585860233e-002	7.855803e-001
6.107630545863240e-002	9.128494e-001
6.111231472287760e-002	1.012031e+000
6.114906515123553e-002	1.093303e+000
6.120256652126736e-002	1.178459e+000
6.128911598374373e-002	1.259878e+000
6.139314994201225e-002	1.298380e+000
6.149440241473956e-002	1.295404e+000
6.161598515499504e-002	1.268451e+000
6.172833355465938e-002	1.238615e+000
6.187869669539236e-002	1.201824e+000
6.205791506265613e-002	1.165900e+000
6.239530499410437e-002	1.113195e+000
6.289088337649874e-002	1.055904e+000
6.341263419094230e-002	1.020345e+000
6.399857169094229e-002	1.010877e+000
6.453095858101475e-002	1.029101e+000
6.511689608101474e-002	1.075106e+000
6.570283358101474e-002	1.140957e+000
6.628877108101473e-002	1.220061e+000
6.687470858101473e-002	1.304806e+000
6.746064608101472e-002	1.387872e+000
6.804658358101472e-002	1.462780e+000
6.863252108101471e-002	1.524338e+000
6.921845858101471e-002	1.568920e+000
6.980439608101470e-002	1.594612e+000
7.039033358101469e-002	1.601196e+000
7.097627108101469e-002	1.590001e+000
7.156220858101468e-002	1.563649e+000
7.214814608101468e-002	1.525791e+000
7.270312752223607e-002	1.482936e+000
7.324586431154610e-002	1.438041e+000
7.383180181154610e-002	1.390342e+000
7.441773931154609e-002	1.347013e+000
7.500367681154609e-002	1.311072e+000
7.558961431154608e-002	1.284674e+000
7.617555181154607e-002	1.269002e+000
7.676148931154607e-002	1.264266e+000
7.734742681154606e-002	1.269784e+000
7.793336431154606e-002	1.284117e+000
7.851930181154605e-002	1.305264e+000
7.910523931154605e-002	1.330873e+000
7.969117681154604e-002	1.358463e+000
8.027711431154604e-002	1.385636e+000
8.086305181154603e-002	1.410261e+000
8.144898931154603e-002	1.430617e+000
8.203492681154602e-002	1.445491e+000
8.262086431154601e-002	1.454227e+000
8.320680181154601e-002	1.456724e+000
8.379273931154600e-002	1.453387e+000
8.437867681154600e-002	1.445050e+000
8.496461431154599e-002	1.432866e+000
8.555055181154599e-002	1.418180e+000
8.613648931154598e-002	1.402412e+000
8.672242681154598e-002	1.386926e+000
8.730836431154597e-002	1.372932e+000
8.789430181154596e-002	1.361405e+000
8.848023931154596e-002	1.353026e+000
8.906617681154595e-002	1.348159e+000
8.965211431154595e-002	1.346851e+000
9.023805181154594e-002	1.348863e+000
9.082398931154594e-002	1.353709e+000
9.140992681154593e-002	1.360729e+000
9.199586431154593e-002	1.369148e+000
9.258180181154592e-002	1.378160e+000
9.316773931154591e-002	1.386984e+000
9.375367681154591e-002	1.394936e+000
9.433961431154590e-002	1.401463e+000
9.492555181154590e-002	1.406182e+000
9.551148931154589e-002	1.408892e+000
9.609742681154589e-002	1.409571e+000
9.668336431154588e-002	1.408362e+000
9.726930181154588e-002	1.405546e+000
9.785523931154587e-002	1.401503e+000
9.844117681154586e-002	1.396676e+000
9.902711431154586e-002	1.391527e+000
9.961305181154585e-002	1.386499e+000
1.001989893115459e-001	1.381981e+000
1.007849268115458e-001	1.378286e+000
1.013708643115458e-001	1.375629e+000
1.019568018115458e-001	1.374121e+000
1.025427393115458e-001	1.373772e+000
1.031286768115458e-001	1.374496e+000
1.037146143115458e-001	1.376132e+000
1.043005518115458e-001	1.378460e+000
1.048864893115458e-001	1.381227e+000
1.054724268115458e-001	1.384169e+000
1.060583643115458e-001	1.387033e+000
1.066443018115458e-001	1.389600e+000
