time	V(vout)
0.000000000000000e+000	9.838554e-006
3.553885347037617e-010	9.803255e-006
7.107770694075234e-010	9.911234e-006
1.066165604111285e-009	1.016249e-005
1.421554138815047e-009	1.055702e-005
1.776942673518809e-009	1.109483e-005
2.132331208222570e-009	1.177592e-005
2.487719742926331e-009	1.260028e-005
3.382321109447159e-009	1.613091e-005
4.220218137916714e-009	2.161384e-005
5.370908481570173e-009	3.339538e-005
6.803764897319722e-009	5.436375e-005
7.883040297958432e-009	7.678314e-005
1.000000000000000e-008	1.314200e-004
1.041698521337121e-008	1.451480e-004
1.097296549786615e-008	1.647434e-004
1.208492606685604e-008	2.083604e-004
1.430884720483582e-008	3.088929e-004
1.710172717698634e-008	4.550614e-004
1.962328248931756e-008	6.063287e-004
2.245306309625063e-008	7.968681e-004
2.582810614215204e-008	1.047023e-003
3.000768535960104e-008	1.383713e-003
3.517131993421995e-008	1.828733e-003
4.173192886025461e-008	2.418691e-003
5.025288573522258e-008	3.181416e-003
6.204357436968453e-008	4.146153e-003
7.616894513960639e-008	5.052529e-003
9.209995531341752e-008	5.651179e-003
1.077603718484906e-007	5.761319e-003
1.228177649807487e-007	5.436685e-003
1.389771941548625e-007	4.742725e-003
1.548471953442151e-007	3.866821e-003
1.737086964766390e-007	2.753479e-003
1.855724638221161e-007	2.083025e-003
1.955159073302779e-007	1.579010e-003
2.067424871482981e-007	1.088090e-003
2.180963756117983e-007	6.781442e-004
2.305110119903307e-007	3.288911e-004
2.432310260369340e-007	6.911914e-005
2.569640946255692e-007	-1.151229e-004
2.710345441026764e-007	-2.210182e-004
2.861857142049651e-007	-2.661290e-004
3.007179418865033e-007	-2.637549e-004
3.157195879117663e-007	-2.325722e-004
3.305026028271988e-007	-1.885031e-004
3.440675253523857e-007	-1.450153e-004
3.586399476184792e-007	-1.011565e-004
3.723274974205270e-007	-6.595148e-005
3.877954708202710e-007	-3.460867e-005
4.165781987009297e-007	2.617576e-006
4.401876006230699e-007	1.037354e-005
4.637970025452101e-007	1.612630e-005
4.874064044673504e-007	1.987585e-005
5.110158063894905e-007	2.162221e-005
5.346252083116307e-007	2.136536e-005
5.582346102337709e-007	1.910531e-005
5.818440121559111e-007	1.484206e-005
1.630066230792880e-006	9.596920e-005
2.678288449429849e-006	2.707147e-004
3.726510668066817e-006	5.390786e-004
4.774732886703786e-006	9.010608e-004
5.822955105340756e-006	1.356661e-003
6.871177323977724e-006	1.905880e-003
7.919399542614691e-006	2.548718e-003
1.466700882586516e-005	8.308334e-003
2.408848257442108e-005	2.078290e-002
3.677311319512893e-005	4.498757e-002
5.349237386914974e-005	8.767773e-002
7.604029585453224e-005	1.596064e-001
1.045980312325081e-004	2.658696e-001
1.409190223426647e-004	4.125993e-001
1.768453384063589e-004	5.592918e-001
2.167165495608834e-004	7.139293e-001
2.549068398338220e-004	8.480066e-001
2.876198260752134e-004	9.479665e-001
3.230720916364078e-004	1.039109e+000
3.620790385733331e-004	1.118613e+000
4.206727885733331e-004	1.205548e+000
4.792665385733331e-004	1.261948e+000
5.378602885733330e-004	1.292014e+000
5.964540385733331e-004	1.303173e+000
6.550477885733331e-004	1.301687e+000
7.136415385733332e-004	1.292407e+000
7.722352885733332e-004	1.278839e+000
8.308290385733333e-004	1.263346e+000
8.894227885733333e-004	1.247409e+000
9.480165385733334e-004	1.231869e+000
1.006610288573333e-003	1.217137e+000
1.065204038573334e-003	1.203350e+000
1.123797788573334e-003	1.190492e+000
1.182391538573334e-003	1.178473e+000
1.240985288573334e-003	1.167178e+000
1.299579038573334e-003	1.156495e+000
1.358172788573334e-003	1.146328e+000
1.416766538573334e-003	1.136604e+000
1.475360288573334e-003	1.127271e+000
1.592547788573334e-003	1.109651e+000
1.709735288573334e-003	1.093278e+000
1.826922788573334e-003	1.078267e+000
1.944110288573334e-003	1.064617e+000
2.061297788573334e-003	1.052328e+000
2.178485288573335e-003	1.041402e+000
2.295672788573335e-003	1.031836e+000
2.412860288573335e-003	1.023633e+000
2.546788860001906e-003	1.016101e+000
2.680717431430478e-003	1.010325e+000
2.814646002859049e-003	1.006306e+000
2.948574574287621e-003	1.004042e+000
3.082503145716193e-003	1.003534e+000
3.216431717144764e-003	1.004782e+000
3.350360288573336e-003	1.007786e+000
3.492659395716192e-003	1.012862e+000
3.634958502859049e-003	1.019475e+000
3.777257610001906e-003	1.027626e+000
3.919556717144763e-003	1.037314e+000
4.061855824287620e-003	1.048541e+000
4.204154931430477e-003	1.061304e+000
4.346454038573333e-003	1.075606e+000
4.480382610001904e-003	1.090185e+000
4.614311181430474e-003	1.105509e+000
4.748239752859046e-003	1.121578e+000
4.882168324287616e-003	1.138393e+000
5.016096895716186e-003	1.155952e+000
5.150025467144757e-003	1.174256e+000
5.283954038573327e-003	1.193305e+000
5.451364752859041e-003	1.217834e+000
5.618775467144754e-003	1.242379e+000
5.786186181430467e-003	1.266941e+000
5.953596895716180e-003	1.291519e+000
6.121007610001894e-003	1.316113e+000
6.288418324287607e-003	1.340724e+000
6.455829038573320e-003	1.365352e+000
6.656721895716176e-003	1.394130e+000
6.857614752859032e-003	1.421331e+000
7.058507610001887e-003	1.446955e+000
7.259400467144743e-003	1.471001e+000
7.460293324287599e-003	1.493471e+000
7.661186181430455e-003	1.514363e+000
7.862079038573311e-003	1.533678e+000
8.037860288573312e-003	1.548519e+000
8.213641538573313e-003	1.561601e+000
8.389422788573315e-003	1.572922e+000
8.565204038573316e-003	1.582484e+000
8.740985288573318e-003	1.590286e+000
8.916766538573319e-003	1.596329e+000
9.092547788573321e-003	1.600611e+000
9.259958502859036e-003	1.602893e+000
9.427369217144752e-003	1.603738e+000
9.594779931430469e-003	1.603148e+000
9.762190645716184e-003	1.601121e+000
9.929601360001900e-003	1.597659e+000
1.009701207428762e-002	1.592760e+000
1.026442278857333e-002	1.586425e+000
1.042346296714476e-002	1.579237e+000
1.058250314571619e-002	1.571248e+000
1.074154332428762e-002	1.562457e+000
1.090058350285905e-002	1.552865e+000
1.105962368143048e-002	1.542471e+000
1.121866386000191e-002	1.531276e+000
1.137770403857334e-002	1.519280e+000
1.157859689571620e-002	1.503255e+000
1.177948975285906e-002	1.487065e+000
1.198038261000192e-002	1.470710e+000
1.218127546714477e-002	1.454189e+000
1.238216832428763e-002	1.437503e+000
1.258306118143049e-002	1.420652e+000
1.278395403857335e-002	1.403635e+000
1.300995850285907e-002	1.385084e+000
1.323596296714478e-002	1.367680e+000
1.346196743143050e-002	1.351421e+000
1.368797189571622e-002	1.336307e+000
1.391397636000193e-002	1.322340e+000
1.413998082428765e-002	1.309518e+000
1.436598528857336e-002	1.297842e+000
1.455850761000194e-002	1.289397e+000
1.475102993143051e-002	1.282154e+000
1.494355225285908e-002	1.276113e+000
1.513607457428766e-002	1.271274e+000
1.532859689571623e-002	1.267636e+000
1.552111921714480e-002	1.265201e+000
1.571364153857337e-002	1.263967e+000
1.590616386000194e-002	1.264037e+000
1.609868618143051e-002	1.265086e+000
1.629120850285908e-002	1.267116e+000
1.648373082428764e-002	1.270126e+000
1.667625314571621e-002	1.274116e+000
1.686877546714478e-002	1.279086e+000
1.706129778857335e-002	1.285036e+000
1.725382011000191e-002	1.291777e+000
1.744634243143048e-002	1.298943e+000
1.763886475285905e-002	1.306534e+000
1.783138707428762e-002	1.314550e+000
1.802390939571618e-002	1.322990e+000
1.821643171714475e-002	1.331855e+000
1.840895403857332e-002	1.341145e+000
1.868518171714474e-002	1.354855e+000
1.896140939571616e-002	1.367983e+000
1.923763707428759e-002	1.380532e+000
1.951386475285901e-002	1.392500e+000
1.979009243143043e-002	1.403887e+000
2.006632011000185e-002	1.414694e+000
2.034254778857328e-002	1.424920e+000
2.056855225285898e-002	1.432083e+000
2.079455671714469e-002	1.438326e+000
2.102056118143041e-002	1.443649e+000
2.124656564571612e-002	1.448053e+000
2.147257011000182e-002	1.451538e+000
2.169857457428753e-002	1.454102e+000
2.192457903857324e-002	1.455747e+000
2.215058350285895e-002	1.456304e+000
2.237658796714466e-002	1.456084e+000
2.260259243143037e-002	1.455086e+000
2.282859689571608e-002	1.453312e+000
2.305460136000179e-002	1.450761e+000
2.328060582428750e-002	1.447433e+000
2.350661028857321e-002	1.443327e+000
2.375772636000178e-002	1.438003e+000
2.400884243143034e-002	1.432388e+000
2.425995850285891e-002	1.426482e+000
2.451107457428747e-002	1.420285e+000
2.476219064571604e-002	1.413798e+000
2.501330671714460e-002	1.407020e+000
2.526442278857317e-002	1.399951e+000
2.555739153857316e-002	1.391868e+000
2.585036028857316e-002	1.384375e+000
2.614332903857315e-002	1.377469e+000
2.643629778857315e-002	1.371153e+000
2.672926653857314e-002	1.365425e+000
2.702223528857313e-002	1.360285e+000
2.731520403857313e-002	1.355734e+000
2.759143171714455e-002	1.352506e+000
2.786765939571597e-002	1.350048e+000
2.814388707428740e-002	1.348361e+000
2.842011475285882e-002	1.347444e+000
2.869634243143024e-002	1.347297e+000
2.897257011000166e-002	1.347920e+000
2.924879778857309e-002	1.349314e+000
2.953339600285879e-002	1.351562e+000
2.981799421714450e-002	1.354190e+000
3.010259243143021e-002	1.357200e+000
3.038719064571592e-002	1.360590e+000
3.067178886000163e-002	1.364361e+000
3.095638707428734e-002	1.368513e+000
3.124098528857304e-002	1.373046e+000
3.159254778857305e-002	1.378747e+000
3.194411028857307e-002	1.384039e+000
3.229567278857308e-002	1.388923e+000
3.264723528857309e-002	1.393398e+000
3.299879778857311e-002	1.397465e+000
3.335036028857312e-002	1.401123e+000
3.370192278857313e-002	1.404373e+000
3.402000314571600e-002	1.406417e+000
3.433808350285887e-002	1.407896e+000
3.465616386000174e-002	1.408810e+000
3.497424421714461e-002	1.409159e+000
3.529232457428748e-002	1.408943e+000
3.561040493143035e-002	1.408162e+000
3.592848528857322e-002	1.406815e+000
3.629678886000180e-002	1.404539e+000
3.666509243143039e-002	1.402079e+000
3.703339600285897e-002	1.399437e+000
3.740169957428756e-002	1.396611e+000
3.777000314571614e-002	1.393602e+000
3.813830671714473e-002	1.390410e+000
3.850661028857332e-002	1.387035e+000
3.889165493143047e-002	1.383880e+000
3.927669957428763e-002	1.381163e+000
3.966174421714479e-002	1.378885e+000
4.004678886000194e-002	1.377044e+000
4.043183350285910e-002	1.375642e+000
4.081687814571626e-002	1.374678e+000
4.120192278857342e-002	1.374152e+000
4.159533796714486e-002	1.374354e+000
4.198875314571630e-002	1.374866e+000
4.238216832428775e-002	1.375689e+000
4.277558350285919e-002	1.376823e+000
4.316899868143063e-002	1.378268e+000
4.356241386000208e-002	1.380024e+000
4.395582903857352e-002	1.382091e+000
4.443294957428783e-002	1.384647e+000
4.491007011000213e-002	1.386906e+000
4.538719064571643e-002	1.388870e+000
4.586431118143074e-002	1.390538e+000
4.634143171714504e-002	1.391910e+000
4.681855225285934e-002	1.392986e+000
4.729567278857365e-002	1.393766e+000
4.777279332428795e-002	1.393798e+000
4.824991386000226e-002	1.393574e+000
4.872703439571656e-002	1.393094e+000
4.920415493143086e-002	1.392359e+000
4.968127546714517e-002	1.391368e+000
5.015839600285947e-002	1.390121e+000
5.063551653857377e-002	1.388619e+000
5.120471296714522e-002	1.386924e+000
5.177390939571668e-002	1.385518e+000
5.234310582428813e-002	1.384401e+000
5.291230225285958e-002	1.383573e+000
5.348149868143103e-002	1.383035e+000
5.405069511000248e-002	1.382786e+000
5.461989153857393e-002	1.382826e+000
5.514723528857395e-002	1.383189e+000
5.584048493143227e-002	1.384254e+000
5.653373457429058e-002	1.385241e+000
5.722698421714891e-002	1.386150e+000
5.792023386000722e-002	1.386980e+000
5.861348350286554e-002	1.387732e+000
5.930673314572386e-002	1.388406e+000
5.999998278858218e-002	1.389003e+000
5.999999278858218e-002	1.389003e+000
6.000000000000000e-002	1.389003e+000
