time	V(vout)
0.000000000000000e+000	4.939126e-004
5.535568158861617e-008	4.940123e-004
1.107113631772323e-007	4.940957e-004
1.660670447658485e-007	4.941626e-004
2.214227263544647e-007	4.942132e-004
2.767784079430808e-007	4.942474e-004
3.321340895316970e-007	4.942653e-004
3.874897711203130e-007	4.942667e-004
3.580404499611929e-006	4.926523e-004
6.773319228103545e-006	4.956644e-004
9.966233956595161e-006	5.033031e-004
1.315914868508678e-005	5.155685e-004
1.635206341357839e-005	5.324604e-004
1.954497814207001e-005	5.539790e-004
2.273789287056161e-005	5.801241e-004
3.395657385575880e-005	7.494693e-004
4.642317488932377e-005	1.095402e-003
6.197820495974450e-005	1.829508e-003
8.107343963543465e-005	3.291372e-003
1.070468343645301e-004	6.413378e-003
1.415561812222663e-004	1.263568e-002
1.831175562523018e-004	2.336680e-002
2.357369918146311e-004	4.181045e-002
3.029536799861170e-004	7.222181e-002
4.077421348439429e-004	1.287482e-001
4.810850406140611e-004	1.726130e-001
5.419297029456459e-004	2.109717e-001
6.118944398031554e-004	2.556214e-001
6.782917311652759e-004	2.976479e-001
7.820386953480915e-004	3.616603e-001
9.202784880729478e-004	4.430602e-001
1.115590988072948e-003	5.506132e-001
1.310903488072948e-003	6.494251e-001
1.506215988072948e-003	7.386250e-001
1.701528488072948e-003	8.178847e-001
1.896840988072948e-003	8.868232e-001
2.092153488072948e-003	9.451317e-001
2.287465988072948e-003	9.926189e-001
2.482778488072948e-003	1.029209e+000
2.678090988072948e-003	1.054932e+000
2.873403488072948e-003	1.069918e+000
3.068715988072949e-003	1.074395e+000
3.264028488072949e-003	1.068677e+000
3.459340988072949e-003	1.053167e+000
3.654653488072949e-003	1.028342e+000
3.849965988072949e-003	9.947536e-001
4.045278488072950e-003	9.530132e-001
4.240590988072950e-003	9.037893e-001
4.435903488072950e-003	8.477970e-001
4.631215988072950e-003	7.857904e-001
4.826528488072950e-003	7.185540e-001
5.021840988072950e-003	6.468946e-001
5.217153488072951e-003	5.716325e-001
5.412465988072951e-003	4.935941e-001
5.607778488072951e-003	4.136032e-001
5.803090988072951e-003	3.324741e-001
5.998403488072951e-003	2.510035e-001
6.193715988072951e-003	1.699646e-001
6.389028488072952e-003	9.009987e-002
6.584340988072952e-003	1.211564e-002
6.779653488072952e-003	-6.332349e-002
6.974965988072952e-003	-1.355993e-001
7.170278488072952e-003	-2.041444e-001
7.365590988072952e-003	-2.684454e-001
7.560903488072953e-003	-3.280461e-001
7.756215988072953e-003	-3.825499e-001
7.951528488072953e-003	-4.316214e-001
8.146840988072952e-003	-4.749872e-001
8.342153488072952e-003	-5.124367e-001
8.537465988072951e-003	-5.438217e-001
8.732778488072950e-003	-5.690557e-001
8.928090988072950e-003	-5.881127e-001
9.123403488072949e-003	-6.010253e-001
9.318715988072948e-003	-6.078823e-001
9.514028488072947e-003	-6.088260e-001
9.709340988072947e-003	-6.040496e-001
9.904653488072946e-003	-5.937923e-001
1.009996598807295e-002	-5.783371e-001
1.029527848807295e-002	-5.580056e-001
1.049059098807294e-002	-5.331540e-001
1.068590348807294e-002	-5.041685e-001
1.088121598807294e-002	-4.714610e-001
1.107652848807294e-002	-4.354638e-001
1.127184098807294e-002	-3.966255e-001
1.146715348807294e-002	-3.554058e-001
1.166246598807294e-002	-3.122708e-001
1.185777848807294e-002	-2.676889e-001
1.205309098807294e-002	-2.221258e-001
1.224840348807294e-002	-1.760406e-001
1.244371598807294e-002	-1.298815e-001
1.263902848807294e-002	-8.408235e-002
1.283434098807294e-002	-3.905854e-002
1.302965348807294e-002	4.795800e-003
1.322496598807293e-002	4.711093e-002
1.342027848807293e-002	8.754411e-002
1.361559098807293e-002	1.257819e-001
1.381090348807293e-002	1.615419e-001
1.400621598807293e-002	1.945748e-001
1.420152848807293e-002	2.246650e-001
1.439684098807293e-002	2.516318e-001
1.459215348807293e-002	2.753299e-001
1.478746598807293e-002	2.956495e-001
1.498277848807293e-002	3.125159e-001
1.517809098807293e-002	3.258894e-001
1.537340348807293e-002	3.357642e-001
1.556871598807293e-002	3.421675e-001
1.576402848807293e-002	3.451577e-001
1.595934098807293e-002	3.448234e-001
1.615465348807292e-002	3.412811e-001
1.634996598807292e-002	3.346731e-001
1.654527848807292e-002	3.251657e-001
1.674059098807292e-002	3.129466e-001
1.693590348807292e-002	2.982222e-001
1.713121598807292e-002	2.812155e-001
1.732652848807292e-002	2.621630e-001
1.752184098807292e-002	2.413124e-001
1.771715348807292e-002	2.189196e-001
1.791246598807292e-002	1.952462e-001
1.810777848807292e-002	1.705569e-001
1.830309098807292e-002	1.451168e-001
