time	V(vout)
0.000000000000000e+000	4.939126e-004
9.509948693927651e-006	4.899395e-004
1.901989738785530e-005	4.951094e-004
2.852984608178295e-005	5.094221e-004
3.803979477571060e-005	5.328778e-004
4.754974346963825e-005	5.654765e-004
5.705969216356591e-005	6.072180e-004
6.656964085749353e-005	6.581025e-004
8.893942739751714e-005	8.549859e-004
1.168250148034258e-004	1.234803e-003
1.521723546362564e-004	1.945017e-003
1.953402920258764e-004	3.161669e-003
2.504303827883528e-004	5.233699e-003
3.230055234769543e-004	8.671514e-003
4.142513585929123e-004	1.372801e-002
4.804288152576492e-004	1.775615e-002
5.406482530379613e-004	2.160398e-002
6.083990270577358e-004	2.600465e-002
6.758792001962100e-004	3.038812e-002
7.792513675104790e-004	3.701825e-002
9.197839783533829e-004	4.579556e-002
1.151078303267761e-003	5.970987e-002
1.444047053267761e-003	7.662300e-002
1.737015803267761e-003	9.286297e-002
2.322953303267761e-003	1.237251e-001
2.908890803267760e-003	1.532301e-001
3.494828303267760e-003	1.823483e-001
4.080765803267760e-003	2.119735e-001
4.666703303267759e-003	2.428553e-001
5.252640803267759e-003	2.755495e-001
5.838578303267759e-003	3.103903e-001
6.424515803267758e-003	3.474818e-001
7.303422053267758e-003	4.070373e-001
8.182328303267759e-003	4.702129e-001
8.768265803267760e-003	5.134793e-001
9.354203303267762e-003	5.569680e-001
9.940140803267763e-003	6.000781e-001
1.052607830326777e-002	6.422569e-001
1.111201580326777e-002	6.830366e-001
1.169795330326777e-002	7.220620e-001
1.228389080326777e-002	7.591050e-001
1.316279705326777e-002	8.107745e-001
1.353947116041063e-002	8.313442e-001
1.391614526755349e-002	8.512987e-001
1.429281937469635e-002	8.706378e-001
1.466949348183920e-002	8.893617e-001
1.504616758898206e-002	9.074702e-001
1.542284169612492e-002	9.249634e-001
1.579951580326778e-002	9.418414e-001
1.667842205326778e-002	9.804464e-001
1.755732830326778e-002	1.018019e+000
1.843623455326778e-002	1.055134e+000
1.885476133898207e-002	1.072835e+000
1.927328812469636e-002	1.090382e+000
1.969181491041064e-002	1.107775e+000
2.011034169612493e-002	1.125015e+000
2.052886848183922e-002	1.142100e+000
2.094739526755350e-002	1.159031e+000
2.136592205326779e-002	1.175809e+000
2.195185955326779e-002	1.198820e+000
2.253779705326779e-002	1.220506e+000
2.312373455326779e-002	1.240867e+000
2.370967205326779e-002	1.259903e+000
2.429560955326780e-002	1.277614e+000
2.488154705326780e-002	1.294000e+000
2.546748455326780e-002	1.309062e+000
2.601156937469637e-002	1.321216e+000
2.655565419612494e-002	1.332190e+000
2.709973901755352e-002	1.341984e+000
2.764382383898209e-002	1.350598e+000
2.818790866041066e-002	1.358033e+000
2.873199348183924e-002	1.364288e+000
2.927607830326781e-002	1.369363e+000
2.990386848183924e-002	1.374246e+000
3.053165866041066e-002	1.378040e+000
3.115944883898209e-002	1.380746e+000
3.178723901755351e-002	1.382363e+000
3.241502919612494e-002	1.382891e+000
3.304281937469637e-002	1.382331e+000
3.367060955326779e-002	1.380682e+000
3.446581044612493e-002	1.377020e+000
3.526101133898206e-002	1.371063e+000
3.605621223183920e-002	1.362812e+000
3.685141312469633e-002	1.352266e+000
3.764661401755347e-002	1.339427e+000
3.844181491041061e-002	1.324292e+000
3.923701580326774e-002	1.306864e+000
4.036703812469630e-002	1.277435e+000
4.149706044612486e-002	1.244396e+000
4.262708276755342e-002	1.207747e+000
4.375710508898198e-002	1.167488e+000
4.488712741041055e-002	1.123618e+000
4.601714973183910e-002	1.076139e+000
4.714717205326766e-002	1.025049e+000
4.848645776755337e-002	9.600614e-001
4.982574348183907e-002	8.914590e-001
5.116502919612477e-002	8.192419e-001
5.250431491041047e-002	7.434099e-001
5.384360062469618e-002	6.639632e-001
5.518288633898187e-002	5.809018e-001
5.652217205326757e-002	4.942256e-001
5.731737294612471e-002	4.421913e-001
5.811257383898184e-002	3.896916e-001
5.890777473183898e-002	3.367267e-001
5.970297562469611e-002	2.832964e-001
6.049817651755325e-002	2.294008e-001
6.129337741041039e-002	1.750398e-001
6.208857830326752e-002	1.202136e-001
6.238154705326752e-002	1.000123e-001
6.267451580326752e-002	7.979667e-002
6.296748455326752e-002	5.956677e-002
6.326045330326752e-002	3.932257e-002
6.355342205326751e-002	1.906406e-002
6.384639080326751e-002	-1.208754e-003
6.413935955326751e-002	-2.149587e-002
6.485085508898179e-002	-7.089419e-002
6.556235062469606e-002	-1.200523e-001
6.627384616041035e-002	-1.689703e-001
6.698534169612462e-002	-2.176480e-001
6.769683723183891e-002	-2.660856e-001
6.840833276755318e-002	-3.142830e-001
6.911982830326746e-002	-3.622402e-001
7.054281937469602e-002	-4.574024e-001
7.196581044612457e-002	-5.491491e-001
7.338880151755314e-002	-6.374803e-001
7.481179258898170e-002	-7.223959e-001
7.623478366041026e-002	-8.038960e-001
7.765777473183881e-002	-8.819805e-001
7.908076580326737e-002	-9.566495e-001
8.113154705326735e-002	-1.055933e+000
8.318232830326733e-002	-1.142279e+000
8.523310955326731e-002	-1.215687e+000
8.728389080326729e-002	-1.276158e+000
8.933467205326727e-002	-1.323692e+000
9.138545330326725e-002	-1.358289e+000
9.343623455326723e-002	-1.379949e+000
9.527775241041007e-002	-1.385273e+000
9.711927026755292e-002	-1.379294e+000
9.896078812469575e-002	-1.362010e+000
1.008023059818386e-001	-1.333422e+000
1.026438238389814e-001	-1.293530e+000
1.044853416961243e-001	-1.242333e+000
1.063268595532671e-001	-1.179832e+000
1.079591140175528e-001	-1.115372e+000
1.095913684818385e-001	-1.044794e+000
1.112236229461242e-001	-9.680977e-001
1.128558774104099e-001	-8.852831e-001
1.144881318746956e-001	-7.963502e-001
1.161203863389813e-001	-7.012991e-001
1.177526408032670e-001	-6.001298e-001
1.187152524104099e-001	-5.390320e-001
1.196778640175527e-001	-4.770522e-001
1.206404756246955e-001	-4.141903e-001
1.216030872318384e-001	-3.504464e-001
1.225656988389813e-001	-2.858204e-001
1.235283104461241e-001	-2.203124e-001
1.244909220532669e-001	-1.539224e-001
1.248257434818384e-001	-1.308522e-001
1.251605649104098e-001	-1.077615e-001
1.254953863389813e-001	-8.465034e-002
1.258302077675527e-001	-6.151878e-002
1.261650291961241e-001	-3.836679e-002
1.264998506246956e-001	-1.519437e-002
1.268346720532670e-001	7.998480e-003
1.275043149104099e-001	5.446732e-002
1.281739577675528e-001	1.007464e-001
1.288436006246957e-001	1.468356e-001
1.295132434818385e-001	1.927351e-001
1.301828863389814e-001	2.384448e-001
1.308525291961243e-001	2.839648e-001
1.315221720532672e-001	3.292949e-001
1.329033104461244e-001	4.223246e-001
1.342844488389816e-001	5.123175e-001
1.356655872318388e-001	5.992735e-001
1.370467256246960e-001	6.831926e-001
1.384278640175532e-001	7.640749e-001
1.398090024104104e-001	8.419204e-001
1.411901408032676e-001	9.167290e-001
1.432409220532676e-001	1.020081e+000
1.452917033032677e-001	1.110754e+000
1.473424845532678e-001	1.188748e+000
1.493932658032679e-001	1.254064e+000
1.514440470532679e-001	1.306702e+000
1.534948283032680e-001	1.346661e+000
1.555456095532681e-001	1.373942e+000
1.573452747318396e-001	1.384273e+000
1.591449399104111e-001	1.383698e+000
1.609446050889826e-001	1.372216e+000
1.627442702675541e-001	1.349828e+000
1.645439354461256e-001	1.316532e+000
1.663436006246971e-001	1.272329e+000
1.681432658032686e-001	1.217220e+000
1.698173729461258e-001	1.156259e+000
1.714914800889830e-001	1.088540e+000
1.731655872318402e-001	1.014064e+000
1.748396943746974e-001	9.328288e-001
1.765138015175546e-001	8.448360e-001
1.781879086604118e-001	7.500853e-001
1.798620158032690e-001	6.485766e-001
1.808664800889833e-001	5.859278e-001
1.818709443746977e-001	5.222131e-001
1.828754086604120e-001	4.574326e-001
1.838798729461263e-001	3.915862e-001
1.848843372318406e-001	3.246739e-001
1.858888015175550e-001	2.566957e-001
1.868932658032693e-001	1.876517e-001
1.872280872318407e-001	1.646469e-001
1.875629086604122e-001	1.416122e-001
1.878977300889836e-001	1.185476e-001
1.882325515175551e-001	9.545302e-002
1.885673729461265e-001	7.232855e-002
1.889021943746979e-001	4.917416e-002
1.892370158032694e-001	2.598985e-002
1.896136899104123e-001	-1.057339e-004
1.899903640175551e-001	-2.617822e-002
1.903670381246980e-001	-5.222762e-002
1.907437122318409e-001	-7.825393e-002
1.911203863389837e-001	-1.042571e-001
1.914970604461266e-001	-1.302373e-001
1.918737345532695e-001	-1.561943e-001
1.929619041961267e-001	-2.313053e-001
1.940500738389838e-001	-3.051981e-001
1.951382434818410e-001	-3.778726e-001
1.962264131246982e-001	-4.493288e-001
1.973145827675554e-001	-5.195668e-001
1.984027524104126e-001	-5.885865e-001
1.994909220532698e-001	-6.563879e-001
2.012905872318413e-001	-7.651036e-001
2.030902524104128e-001	-8.657990e-001
2.048899175889843e-001	-9.584741e-001
2.066895827675558e-001	-1.043129e+000
2.084892479461273e-001	-1.119763e+000
2.102889131246988e-001	-1.188378e+000
2.120885783032702e-001	-1.248971e+000
2.139300961604132e-001	-1.299286e+000
2.157716140175561e-001	-1.338082e+000
2.176131318746990e-001	-1.365360e+000
2.194546497318420e-001	-1.381119e+000
2.212961675889849e-001	-1.385361e+000
2.231376854461278e-001	-1.378084e+000
2.249792033032707e-001	-1.359289e+000
2.269881318746994e-001	-1.323768e+000
2.289970604461280e-001	-1.276469e+000
2.310059890175567e-001	-1.217390e+000
2.330149175889853e-001	-1.146533e+000
2.350238461604140e-001	-1.063897e+000
2.370327747318426e-001	-9.694829e-001
2.390417033032713e-001	-8.632895e-001
2.402972836604142e-001	-7.928938e-001
2.415528640175571e-001	-7.201231e-001
2.428084443747000e-001	-6.449775e-001
2.440640247318429e-001	-5.674571e-001
2.453196050889858e-001	-4.875617e-001
2.465751854461287e-001	-4.052915e-001
2.478307658032716e-001	-3.206464e-001
2.483748506247002e-001	-2.838234e-001
2.489189354461288e-001	-2.468593e-001
2.494630202675574e-001	-2.097541e-001
2.500071050889859e-001	-1.725079e-001
2.505511899104145e-001	-1.351206e-001
2.510952747318431e-001	-9.759219e-002
2.516393595532717e-001	-5.992274e-002
2.519741809818432e-001	-3.674399e-002
2.523090024104146e-001	-1.357116e-002
2.526438238389860e-001	9.595754e-003
2.529786452675575e-001	3.275675e-002
2.533134666961289e-001	5.591182e-002
2.536482881247004e-001	7.906097e-002
2.539831095532718e-001	1.022042e-001
2.549875738389861e-001	1.718135e-001
2.559920381247005e-001	2.405641e-001
2.569965024104148e-001	3.084561e-001
2.580009666961291e-001	3.754895e-001
2.590054309818434e-001	4.416643e-001
2.600098952675577e-001	5.069804e-001
2.610143595532721e-001	5.714379e-001
2.626884666961293e-001	6.764582e-001
2.643625738389865e-001	7.751570e-001
2.660366809818437e-001	8.675344e-001
2.677107881247009e-001	9.535905e-001
2.693848952675581e-001	1.033325e+000
2.710590024104153e-001	1.106738e+000
2.727331095532725e-001	1.173830e+000
