time	V(vout)
0.000000000000000e+000	4.939126e-004
4.262857180698917e-009	4.939075e-004
8.525714361397835e-009	4.939079e-004
1.278857154209675e-008	4.939137e-004
1.705142872279567e-008	4.939249e-004
2.131428590349459e-008	4.939416e-004
2.557714308419350e-008	4.939637e-004
2.984000026489241e-008	4.939912e-004
5.032000053832974e-008	4.943107e-004
8.915383196663871e-008	4.952765e-004
1.303579324796821e-007	4.963698e-004
1.784325841772770e-007	4.972626e-004
2.699386312157029e-007	4.973614e-004
3.614446782541288e-007	4.974352e-004
4.529507252925547e-007	4.974841e-004
5.444567723309806e-007	4.975081e-004
6.359628193694064e-007	4.975071e-004
7.274688664078323e-007	4.974813e-004
8.189749134462580e-007	4.974306e-004
1.788416093892768e-006	4.977819e-004
2.855425431785661e-006	4.992752e-004
4.859594297550066e-006	5.077449e-004
8.571123975806770e-006	5.505969e-004
1.380631715829261e-005	6.846443e-004
1.895717201570506e-005	9.381522e-004
2.454628329106736e-005	1.400469e-003
3.012383583821445e-005	2.116855e-003
3.706375740823463e-005	3.445298e-003
4.550373502265193e-005	5.849248e-003
5.751052626860654e-005	1.098004e-002
7.326690870959214e-005	2.124322e-002
9.587794657244428e-005	4.378726e-002
1.269592176314459e-004	8.939875e-002
1.624120535152828e-004	1.620340e-001
2.060289228771500e-004	2.779359e-001
2.566548834059503e-004	4.356065e-001
2.774693180599230e-004	5.061098e-001
2.992854576742387e-004	5.823084e-001
3.276445728985760e-004	6.800089e-001
3.548247731702210e-004	7.681195e-001
3.989166710306724e-004	8.933535e-001
4.439227489857483e-004	9.919186e-001
4.912247912941607e-004	1.049072e+000
5.506159966890231e-004	1.048478e+000
6.084965069364096e-004	9.682397e-001
6.681121749471020e-004	8.035782e-001
7.231102282336368e-004	5.840354e-001
7.971069086195614e-004	2.214956e-001
8.556562235706389e-004	-9.299145e-002
8.914012947080647e-004	-2.899322e-001
9.107719740198165e-004	-3.945640e-001
9.335203984252798e-004	-5.126462e-001
9.585533932496631e-004	-6.353110e-001
9.869732667925929e-004	-7.607841e-001
1.033042480411296e-003	-9.277278e-001
1.093599034931286e-003	-1.080669e+000
1.148239291326222e-003	-1.142566e+000
1.202949604779847e-003	-1.122412e+000
1.253591494626008e-003	-1.030123e+000
1.310246753864807e-003	-8.517569e-001
1.365090910329735e-003	-6.163222e-001
1.439851154290844e-003	-2.339486e-001
1.497691898894062e-003	8.430644e-002
1.526148055005388e-003	2.428287e-001
1.545940024324117e-003	3.503899e-001
1.565929041321236e-003	4.547841e-001
1.588778659792772e-003	5.673979e-001
1.618009305815599e-003	6.970869e-001
1.665368442324635e-003	8.707312e-001
1.719879988599421e-003	1.011190e+000
1.775468333995491e-003	1.073650e+000
1.841641343986211e-003	1.043343e+000
1.897438624573470e-003	9.312363e-001
1.953444948603403e-003	7.393094e-001
2.015838317421021e-003	4.581579e-001
2.075584216996946e-003	1.470380e-001
2.128363575740764e-003	-1.442611e-001
2.157948949530285e-003	-3.076544e-001
2.178439260484075e-003	-4.176071e-001
2.198957772861549e-003	-5.232263e-001
2.219233231944354e-003	-6.214662e-001
2.249417717290496e-003	-7.524857e-001
2.298290892207698e-003	-9.263353e-001
2.352885896275666e-003	-1.059620e+000
2.408645795697713e-003	-1.118945e+000
2.461082360228464e-003	-1.097424e+000
2.513639888601566e-003	-1.000564e+000
2.565673434054362e-003	-8.369418e-001
2.621619603444092e-003	-5.970268e-001
2.696556039888631e-003	-2.149171e-001
2.753781266885707e-003	9.982766e-002
2.783261077969415e-003	2.642229e-001
2.802870290123518e-003	3.709309e-001
2.823583046304295e-003	4.792298e-001
2.846563055160321e-003	5.926005e-001
2.875745334155036e-003	7.221709e-001
2.923027595092946e-003	8.967190e-001
2.974058414805183e-003	1.033231e+000
3.022407609738016e-003	1.101926e+000
3.071001311980338e-003	1.105899e+000
3.118848808583227e-003	1.044448e+000
3.173704737994881e-003	9.015759e-001
3.228593701369423e-003	6.918108e-001
3.296505793216872e-003	3.668054e-001
3.354293519658434e-003	5.775225e-002
3.398536940147294e-003	-1.879875e-001
3.420728234950223e-003	-3.097724e-001
3.442407004642276e-003	-4.242239e-001
3.471726011252322e-003	-5.706006e-001
3.498547158071615e-003	-6.919847e-001
3.542065269580276e-003	-8.570104e-001
3.596102869003839e-003	-1.006678e+000
3.651334010055732e-003	-1.083239e+000
3.714938525021679e-003	-1.072277e+000
3.771761815929805e-003	-9.736555e-001
3.828737279859770e-003	-7.928979e-001
3.886096627781182e-003	-5.443252e-001
3.952595120426694e-003	-2.031332e-001
4.008505392078509e-003	1.050358e-001
4.040949835835435e-003	2.858751e-001
4.060516807270795e-003	3.922889e-001
4.081396739484563e-003	5.013242e-001
4.104406854993881e-003	6.146795e-001
4.133577965382124e-003	7.439749e-001
4.180842473324926e-003	9.180027e-001
4.232176295744934e-003	1.052099e+000
4.288144588018276e-003	1.124716e+000
4.337491433550616e-003	1.120275e+000
4.383556250126185e-003	1.052802e+000
4.433540755067938e-003	9.160836e-001
4.488380512002177e-003	7.023823e-001
4.556034940220151e-003	3.764754e-001
4.613359082850484e-003	6.885191e-002
4.656282970755115e-003	-1.699866e-001
4.678504100279465e-003	-2.921140e-001
4.700162224707045e-003	-4.066375e-001
4.729547861265482e-003	-5.535988e-001
4.756344060163144e-003	-6.751125e-001
4.799822286005714e-003	-8.404985e-001
4.853497888420367e-003	-9.899459e-001
4.908796420547988e-003	-1.067940e+000
4.971442413321478e-003	-1.059217e+000
5.028233143375784e-003	-9.628126e-001
5.085161097484303e-003	-7.844719e-001
5.142694277327861e-003	-5.370270e-001
5.208946722924926e-003	-1.986495e-001
5.264874772578272e-003	1.088360e-001
5.298254310121489e-003	2.946434e-001
5.317685051152417e-003	4.002084e-001
5.339103874578953e-003	5.119253e-001
5.362211011487997e-003	6.256008e-001
5.391346127860333e-003	7.545061e-001
5.438553418208806e-003	9.282382e-001
5.488964268099008e-003	1.060891e+000
5.542880746615036e-003	1.131630e+000
5.596067340813421e-003	1.123889e+000
5.651865381276542e-003	1.032454e+000
5.710115830340764e-003	8.569100e-001
5.765079193934320e-003	6.263205e-001
5.829848607809479e-003	2.998837e-001
5.886963591437804e-003	-1.229619e-002
5.924464609736040e-003	-2.211157e-001
5.943437014676309e-003	-3.244843e-001
5.966450423729315e-003	-4.448702e-001
5.990552277278336e-003	-5.638155e-001
6.019318159376780e-003	-6.915570e-001
6.065938192240321e-003	-8.630255e-001
6.120289096242545e-003	-1.004452e+000
6.175793086284916e-003	-1.069052e+000
6.241410336676579e-003	-1.042049e+000
6.297320797018864e-003	-9.322620e-001
6.353432827712859e-003	-7.422090e-001
6.415448851064402e-003	-4.642334e-001
6.475823754103094e-003	-1.501344e-001
6.529813234077504e-003	1.483488e-001
6.559918169839587e-003	3.151628e-001
6.580275785254424e-003	4.248755e-001
6.600266927436589e-003	5.282582e-001
6.621300418371735e-003	6.307325e-001
6.651204194397821e-003	7.614684e-001
6.699632199522625e-003	9.353865e-001
